client_hash_id,content_hash_id,impressions,avg_position,ctr,position_tier,tier_avg_ctr,baseline_action_score,reason_code,action
client_23a62021009f63c4,content_44f34c0a90047651,212404.0,7.346909008684936,0.00011299222236869363,top10,0.003354027530372355,688.4088635612097,low_ctr_visible_page,review_title_and_meta
client_73cda7b4e4f265ea,content_8e1334d6356668e3,134984.0,4.545581827774352,7.4082854264209095e-06,top10,0.003354027530372355,451.74005215978195,low_ctr_visible_page,review_title_and_meta
client_62f4a7e64f5e0096,content_34a70fea29d15f24,143019.0,3.2194729633317762,0.00030065935295310413,top10,0.003354027530372355,436.6896633663238,low_ctr_visible_page,review_title_and_meta
client_73cda7b4e4f265ea,content_fec55986a1868d62,124075.0,9.385149675233961,8.059641345960104e-06,top10,0.003354027530372355,415.15096583094993,low_ctr_visible_page,review_title_and_meta
client_e547b89c05043229,content_8d7d99f109e19aa2,203497.0,2.5637564475235504,0.0014201683562902647,top10,0.003354027530372355,393.5345403481831,low_ctr_visible_page,review_title_and_meta
client_62f4a7e64f5e0096,content_7c6373141eae744a,132593.0,5.789018546291595,0.0006259757302421697,top10,0.003354027530372355,361.72057233466165,low_ctr_visible_page,review_title_and_meta
client_62f4a7e64f5e0096,content_f6116743b00afc2d,107584.0,9.536301418353123,0.00013942593694229625,top10,0.003354027530372355,345.8396978275794,low_ctr_visible_page,review_title_and_meta
client_62f4a7e64f5e0096,content_acbcc847f8996314,170808.0,3.3611953443518656,0.001533886000655707,top10,0.003354027530372355,310.8947344078412,low_ctr_visible_page,review_title_and_meta
client_9958f0a7ae1df715,content_cd3d932d4e1c8db0,89332.0,7.7862192933810785,4.477678771324945e-05,top10,0.003354027530372355,295.6219873432232,low_ctr_visible_page,review_title_and_meta
client_62f4a7e64f5e0096,content_b99ea6861864dea5,194337.0,4.4501063084694445,0.0018575978840879503,top10,0.003354027530372355,290.81164816997233,low_ctr_visible_page,review_title_and_meta
client_73cda7b4e4f265ea,content_f43118e089ecc69a,139417.0,5.036458395994373,0.0013699907471829116,top10,0.003354027530372355,276.6084562019226,low_ctr_visible_page,review_title_and_meta
